sleep_duration_hours,quality_rating,stress_level,caffeine_cups,screen_time_before_bed,exercise_today,alcohol_consumed,nap_duration_mins,night_awakenings,age,weight_kg,height_cm,sleep_goal_hours,sleep_score
7.6,8,5,1,74,0,1,0,2,39,48.7,182.5,8.5,48.62
6.3,5,1,3,57,1,0,0,0,44,84.8,156.3,7.5,36.02
7.27,7,4,0,130,0,0,20,0,56,45.9,192.4,8.5,33.36
6.28,5,2,3,91,0,1,0,4,25,47.2,190.9,7.5,12.81
7.68,6,6,1,3,1,0,90,1,61,106.1,190.3,8.5,51.79
5.91,7,9,5,39,0,1,20,4,41,68.2,162.6,7.5,2.77
5.86,1,9,0,87,0,1,0,2,34,91.2,185.6,7.0,3.46
6.75,9,7,0,71,1,1,0,5,41,88.3,176.6,8.5,20.26
6.91,5,3,0,4,1,0,30,2,26,91.2,155.0,7.5,67.38
5.3,4,5,4,142,0,0,0,2,39,102.2,178.1,8.5,15.89
8.1,4,10,3,128,0,0,0,3,30,100.9,150.3,7.0,26.72
5.3,3,10,3,151,0,0,0,0,29,61.4,172.4,6.0,35.74
6.47,1,1,2,125,1,0,0,5,49,83.5,153.6,7.0,40.08
7.87,5,4,1,138,0,1,30,0,23,90.2,188.6,7.5,56.54
5.14,7,4,0,160,1,1,0,0,28,67.2,155.1,9.0,35.21
9.25,7,10,0,59,0,1,90,5,29,81.3,189.7,9.0,40.22
5.52,3,4,5,119,0,1,45,0,25,96.0,180.1,8.5,0.0
7.21,6,3,4,168,1,0,0,5,38,56.6,166.5,9.0,11.85
5.85,3,6,5,157,1,1,0,5,25,86.0,185.8,8.5,0.0
8.64,1,5,3,60,1,0,0,0,34,109.6,171.1,8.5,62.02
6.73,9,5,4,45,0,0,90,0,38,57.4,162.1,7.0,64.14
7.26,6,10,2,103,1,1,0,5,40,54.1,173.3,6.5,35.83
8.06,9,6,4,169,0,1,30,0,41,104.4,173.0,6.0,37.65
5.58,8,3,3,97,1,1,0,5,42,55.1,194.2,8.5,17.75
6.5,4,10,5,14,1,0,0,0,25,95.0,159.7,8.0,17.77
8.45,4,3,3,143,0,1,0,5,36,96.7,162.2,7.5,36.28
5.97,10,5,5,22,0,0,20,0,18,73.8,160.8,8.5,34.29
8.13,5,1,4,68,1,0,0,3,43,68.1,184.1,6.0,49.03
6.18,1,4,4,143,1,1,0,3,50,75.2,179.2,6.5,36.44
8.85,2,4,1,146,1,1,45,4,62,55.6,153.2,9.0,41.1
8.41,2,3,3,32,0,0,0,4,29,70.1,193.3,6.5,34.03
6.2,2,3,1,34,0,0,20,4,43,89.3,165.3,7.0,40.76
